word,tier,source
clue,B1,curated-sample
whisker,B2,curated-sample
shadow,B1,curated-sample
treasure,B1,curated-sample
secret,B1,curated-sample
umbrella,A2,curated-sample
lantern,B2,curated-sample
puzzle,B1,curated-sample
ribbon,B1,curated-sample
feather,B1,curated-sample
pumpkin,B1,curated-sample
whistle,B1,curated-sample
balloon,A2,curated-sample
kitten,B1,curated-sample
mustache,B2,curated-sample
castle,A2,curated-sample
dragon,B1,curated-sample
wizard,B1,curated-sample
ghost,B1,curated-sample
robot,A2,curated-sample
pocket,A2,curated-sample
button,A2,curated-sample
candle,B1,curated-sample
basket,A2,curated-sample
adventure,B1,curated-sample
brave,B1,curated-sample
curious,B1,curated-sample
discover,B1,curated-sample
forest,A2,curated-sample
gentle,B1,curated-sample
journey,B1,curated-sample
mystery,B1,curated-sample
silent,B1,curated-sample
whisper,B2,curated-sample
shiny,B1,curated-sample
sparkle,B2,curated-sample
creature,B1,curated-sample
enormous,B1,curated-sample
tiny,A2,curated-sample
