word,tier,source
aberration,GRE,exam-curated
abhor,SAT,exam-curated
abridge,SAT,exam-curated
abrupt,ACT,exam-curated
abscond,GRE,exam-curated
abstain,GRE,exam-curated
acclaim,ACT,exam-curated
accolade,SAT,exam-curated
acumen,SAT,exam-curated
adamant,ACT,exam-curated
adept,SAT,exam-curated
adhere,ACT,exam-curated
admonish,GRE,exam-curated
adorn,ACT,exam-curated
adulterate,GRE,exam-curated
adverse,SAT,exam-curated
advocate,ACT,exam-curated
aesthetic,GRE,exam-curated
affable,SAT,exam-curated
affirm,ACT,exam-curated
affluent,SAT,exam-curated
aggrandize,GRE,exam-curated
aggregate,SAT,exam-curated
alacritous,SAT,exam-curated
alacrity,GRE,exam-curated
alienate,ACT,exam-curated
alleviate,GRE,exam-curated
allot,ACT,exam-curated
allude,SAT,exam-curated
aloof,SAT,exam-curated
altruism,SAT,exam-curated
amalgamate,GRE,exam-curated
ambiguous,GRE,exam-curated
ambivalent,GRE,exam-curated
ameliorate,GRE,exam-curated
amend,ACT,exam-curated
amiable,SAT,exam-curated
amicable,SAT,exam-curated
ample,SAT,exam-curated
anachronism,GRE,exam-curated
analogous,GRE,exam-curated
anecdote,ACT,exam-curated
anguish,SAT,exam-curated
animosity,ACT,exam-curated
anomaly,GRE,exam-curated
antipathy,GRE,exam-curated
apathetic,ACT,exam-curated
apathy,GRE,exam-curated
appease,GRE,exam-curated
apprehensive,SAT,exam-curated
approbation,GRE,exam-curated
arbitrary,SAT,exam-curated
ardent,SAT,exam-curated
arduous,GRE,exam-curated
articulate,GRE,exam-curated
ascend,ACT,exam-curated
ascetic,GRE,exam-curated
assert,ACT,exam-curated
assiduous,SAT,exam-curated
assuage,GRE,exam-curated
audacious,GRE,exam-curated
augment,ACT,exam-curated
austere,GRE,exam-curated
authentic,ACT,exam-curated
autonomous,GRE,exam-curated
avert,ACT,exam-curated
avid,ACT,exam-curated
banal,GRE,exam-curated
barren,ACT,exam-curated
belie,GRE,exam-curated
belligerent,GRE,exam-curated
benevolent,SAT,exam-curated
benign,SAT,exam-curated
bewilder,ACT,exam-curated
bias,ACT,exam-curated
bland,ACT,exam-curated
bleak,ACT,exam-curated
blight,ACT,exam-curated
blunder,ACT,exam-curated
boisterous,ACT,exam-curated
bolster,GRE,exam-curated
bombastic,GRE,exam-curated
bountiful,ACT,exam-curated
brisk,ACT,exam-curated
brusque,SAT,exam-curated
bucolic,GRE,exam-curated
burgeon,GRE,exam-curated
buttress,GRE,exam-curated
cacophony,GRE,exam-curated
cajole,GRE,exam-curated
callous,GRE,exam-curated
camaraderie,SAT,exam-curated
candid,SAT,exam-curated
candor,GRE,exam-curated
capricious,GRE,exam-curated
captivate,ACT,exam-curated
cascade,SAT,exam-curated
castigate,GRE,exam-curated
caustic,GRE,exam-curated
cautious,ACT,exam-curated
cavalier,SAT,exam-curated
censor,ACT,exam-curated
censure,GRE,exam-curated
chaos,ACT,exam-curated
chicanery,GRE,exam-curated
circuitous,SAT,exam-curated
circumspect,GRE,exam-curated
clairvoyant,GRE,exam-curated
clandestine,SAT,exam-curated
coalesce,GRE,exam-curated
coax,ACT,exam-curated
cogent,GRE,exam-curated
cognizant,SAT,exam-curated
coherent,SAT,exam-curated
coincide,ACT,exam-curated
colossal,SAT,exam-curated
commend,ACT,exam-curated
commensurate,GRE,exam-curated
compassion,ACT,exam-curated
compel,ACT,exam-curated
compelling,SAT,exam-curated
compile,ACT,exam-curated
complacent,GRE,exam-curated
compliant,SAT,exam-curated
comprise,ACT,exam-curated
concede,ACT,exam-curated
conciliatory,GRE,exam-curated
