word,tier,source
秘密,N3,curated-sample
影,N3,curated-sample
宝物,N3,curated-sample
謎,N2,curated-sample
城,N3,curated-sample
幽霊,N2,curated-sample
ロボット,N4,curated-sample
ポケット,N4,curated-sample
ろうそく,N3,curated-sample
かご,N3,curated-sample
冒険,N3,curated-sample
発見,N3,curated-sample
魔法,N3,curated-sample
森,N4,curated-sample
旅,N4,curated-sample
鍵,N3,curated-sample
髭,N3,curated-sample
提灯,N2,curated-sample
リボン,N4,curated-sample
かぼちゃ,N4,curated-sample
羽根,N2,curated-sample
神秘,N1,curated-sample
宝,N3,curated-sample
勇気,N3,curated-sample
