word,tier,source
秘密,HSK5,curated-sample
影子,HSK5,curated-sample
宝藏,HSK6,curated-sample
灯笼,HSK6,curated-sample
谜语,HSK6,curated-sample
丝带,HSK6,curated-sample
羽毛,HSK5,curated-sample
南瓜,HSK5,curated-sample
城堡,HSK5,curated-sample
巫师,HSK6,curated-sample
幽灵,HSK6,curated-sample
机器人,HSK5,curated-sample
口袋,HSK5,curated-sample
蜡烛,HSK5,curated-sample
篮子,HSK5,curated-sample
冒险,HSK5,curated-sample
勇敢,HSK4,curated-sample
好奇,HSK5,curated-sample
发现,HSK4,curated-sample
森林,HSK4,curated-sample
温柔,HSK5,curated-sample
神秘,HSK5,curated-sample
胡子,HSK5,curated-sample
线索,HSK6,curated-sample
钥匙,HSK4,curated-sample
