word,tier,source
我,HSK1,curated-sample
你,HSK1,curated-sample
他,HSK1,curated-sample
她,HSK1,curated-sample
我们,HSK1,curated-sample
你们,HSK2,curated-sample
的,HSK1,curated-sample
是,HSK1,curated-sample
在,HSK1,curated-sample
有,HSK1,curated-sample
和,HSK1,curated-sample
不,HSK1,curated-sample
也,HSK2,curated-sample
都,HSK1,curated-sample
很,HSK1,curated-sample
大,HSK1,curated-sample
小,HSK1,curated-sample
好,HSK1,curated-sample
人,HSK1,curated-sample
天,HSK1,curated-sample
家,HSK1,curated-sample
猫,HSK1,curated-sample
狗,HSK1,curated-sample
鸟,HSK3,curated-sample
鱼,HSK2,curated-sample
花,HSK3,curated-sample
树,HSK3,curated-sample
水,HSK1,curated-sample
山,HSK3,curated-sample
门,HSK2,curated-sample
手,HSK2,curated-sample
眼睛,HSK2,curated-sample
看,HSK1,curated-sample
听,HSK1,curated-sample
说,HSK1,curated-sample
走,HSK2,curated-sample
跑,HSK2,curated-sample
吃,HSK1,curated-sample
喝,HSK1,curated-sample
睡觉,HSK1,curated-sample
来,HSK1,curated-sample
去,HSK1,curated-sample
做,HSK1,curated-sample
想,HSK1,curated-sample
要,HSK1,curated-sample
会,HSK1,curated-sample
能,HSK1,curated-sample
爱,HSK1,curated-sample
学习,HSK1,curated-sample
书,HSK1,curated-sample
朋友,HSK1,curated-sample
老师,HSK1,curated-sample
学生,HSK1,curated-sample
今天,HSK1,curated-sample
明天,HSK1,curated-sample
什么,HSK1,curated-sample
谁,HSK1,curated-sample
这,HSK1,curated-sample
那,HSK1,curated-sample
多,HSK1,curated-sample
少,HSK1,curated-sample
冷,HSK1,curated-sample
热,HSK1,curated-sample
快,HSK2,curated-sample
慢,HSK2,curated-sample
新,HSK2,curated-sample
高兴,HSK1,curated-sample
漂亮,HSK1,curated-sample
喜欢,HSK1,curated-sample
玩,HSK2,curated-sample
女孩,HSK2,curated-sample
男孩,HSK2,curated-sample
孩子,HSK2,curated-sample
海,HSK2,hsk30-widen
光,HSK3,hsk30-widen
飞,HSK1,hsk30-widen
颜色,HSK2,hsk30-widen
火,HSK3,hsk30-widen
声音,HSK2,hsk30-widen
了,HSK1,hsk30-widen
得,HSK2,hsk30-widen
他们,HSK1,hsk30-widen
以后,HSK2,hsk30-widen
然后,HSK2,hsk30-widen
出来,HSK1,hsk30-widen
地方,HSK1,hsk30-widen
别的,HSK1,hsk30-widen
里面,HSK3,hsk30-widen
上面,HSK3,hsk30-widen
下雨,HSK1,hsk30-widen
雨,HSK1,hsk30-widen
停,HSK2,hsk30-widen
告诉,HSK1,hsk30-widen
讲,HSK2,hsk30-widen
说话,HSK1,hsk30-widen
用,HSK1,hsk30-widen
叫,HSK1,hsk30-widen
像,HSK2,hsk30-widen
老,HSK1,hsk30-widen
高,HSK1,hsk30-widen
爱好,HSK1,hsk30-widen
八,HSK1,hsk30-widen
吧,HSK1,hsk30-widen
白,HSK1,hsk30-widen
白天,HSK1,hsk30-widen
百,HSK1,hsk30-widen
班,HSK1,hsk30-widen
半,HSK1,hsk30-widen
半年,HSK1,hsk30-widen
半天,HSK1,hsk30-widen
帮,HSK1,hsk30-widen
帮忙,HSK1,hsk30-widen
包,HSK1,hsk30-widen
包子,HSK1,hsk30-widen
杯,HSK1,hsk30-widen
杯子,HSK1,hsk30-widen
北,HSK1,hsk30-widen
北边,HSK1,hsk30-widen
北京,HSK1,hsk30-widen
本,HSK1,hsk30-widen
本子,HSK1,hsk30-widen
比,HSK1,hsk30-widen
别,HSK1,hsk30-widen
别人,HSK1,hsk30-widen
病,HSK1,hsk30-widen
病人,HSK1,hsk30-widen
不大,HSK1,hsk30-widen
不对,HSK1,hsk30-widen
不客气,HSK1,hsk30-widen
不用,HSK1,hsk30-widen
菜,HSK1,hsk30-widen
茶,HSK1,hsk30-widen
差,HSK1,hsk30-widen
常,HSK1,hsk30-widen
常常,HSK1,hsk30-widen
唱,HSK1,hsk30-widen
唱歌,HSK1,hsk30-widen
车,HSK1,hsk30-widen
车票,HSK1,hsk30-widen
车上,HSK1,hsk30-widen
车站,HSK1,hsk30-widen
吃饭,HSK1,hsk30-widen
出,HSK1,hsk30-widen
出去,HSK1,hsk30-widen
穿,HSK1,hsk30-widen
床,HSK1,hsk30-widen
次,HSK1,hsk30-widen
从,HSK1,hsk30-widen
错,HSK1,hsk30-widen
打,HSK1,hsk30-widen
打车,HSK1,hsk30-widen
打电话,HSK1,hsk30-widen
打开,HSK1,hsk30-widen
打球,HSK1,hsk30-widen
大学,HSK1,hsk30-widen
大学生,HSK1,hsk30-widen
到,HSK1,hsk30-widen
得到,HSK1,hsk30-widen
地,HSK1,hsk30-widen
等,HSK1,hsk30-widen
地点,HSK1,hsk30-widen
地上,HSK1,hsk30-widen
地图,HSK1,hsk30-widen
点,HSK1,hsk30-widen
电,HSK1,hsk30-widen
电话,HSK1,hsk30-widen
电脑,HSK1,hsk30-widen
电视,HSK1,hsk30-widen
电视机,HSK1,hsk30-widen
电影,HSK1,hsk30-widen
电影院,HSK1,hsk30-widen
东,HSK1,hsk30-widen
东边,HSK1,hsk30-widen
东西,HSK1,hsk30-widen
动,HSK1,hsk30-widen
动作,HSK1,hsk30-widen
读,HSK1,hsk30-widen
读书,HSK1,hsk30-widen
对,HSK1,hsk30-widen
对不起,HSK1,hsk30-widen
多少,HSK1,hsk30-widen
饿,HSK1,hsk30-widen
儿子,HSK1,hsk30-widen
二,HSK1,hsk30-widen
饭,HSK1,hsk30-widen
饭店,HSK1,hsk30-widen
房间,HSK1,hsk30-widen
房子,HSK1,hsk30-widen
放,HSK1,hsk30-widen
放假,HSK1,hsk30-widen
放学,HSK1,hsk30-widen
飞机,HSK1,hsk30-widen
非常,HSK1,hsk30-widen
分,HSK1,hsk30-widen
风,HSK1,hsk30-widen
干,HSK1,hsk30-widen
干净,HSK1,hsk30-widen
干什么,HSK1,hsk30-widen
歌,HSK1,hsk30-widen
个,HSK1,hsk30-widen
给,HSK1,hsk30-widen
跟,HSK1,hsk30-widen
工人,HSK1,hsk30-widen
工作,HSK1,hsk30-widen
关,HSK1,hsk30-widen
关上,HSK1,hsk30-widen
贵,HSK1,hsk30-widen
国,HSK1,hsk30-widen
国家,HSK1,hsk30-widen
国外,HSK1,hsk30-widen
过,HSK1,hsk30-widen
还,HSK1,hsk30-widen
还是,HSK1,hsk30-widen
还有,HSK1,hsk30-widen
汉语,HSK1,hsk30-widen
汉字,HSK1,hsk30-widen
好吃,HSK1,hsk30-widen
好看,HSK1,hsk30-widen
好听,HSK1,hsk30-widen
好玩儿,HSK1,hsk30-widen
号,HSK1,hsk30-widen
后,HSK1,hsk30-widen
后边,HSK1,hsk30-widen
后天,HSK1,hsk30-widen
话,HSK1,hsk30-widen
坏,HSK1,hsk30-widen
回,HSK1,hsk30-widen
回答,HSK1,hsk30-widen
回到,HSK1,hsk30-widen
回家,HSK1,hsk30-widen
回来,HSK1,hsk30-widen
回去,HSK1,hsk30-widen
火车,HSK1,hsk30-widen
机场,HSK1,hsk30-widen
机票,HSK1,hsk30-widen
鸡蛋,HSK1,hsk30-widen
几,HSK1,hsk30-widen
记,HSK1,hsk30-widen
记得,HSK1,hsk30-widen
记住,HSK1,hsk30-widen
家里,HSK1,hsk30-widen
家人,HSK1,hsk30-widen
间,HSK1,hsk30-widen
见,HSK1,hsk30-widen
见面,HSK1,hsk30-widen
教,HSK1,hsk30-widen
教学楼,HSK1,hsk30-widen
介绍,HSK1,hsk30-widen
今年,HSK1,hsk30-widen
进,HSK1,hsk30-widen
